formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,cbm,vbm
Ba2La2MgMn(WO6)2,2.264599999999999,-2.875573709146551,0.132577761516666,289.5956770652925,6.831366948350676,20.0,7.005,4.7404
Ba2La2MgTi3O12,2.1294499999999994,-3.558322355,0.033419315124999,511.3926997083863,5.926731159551079,40.0,6.6457999999999995,4.51635
Ba2La2Mn(WO6)2,1.5055,-2.9368682575226863,0.073534983157902,539.007987382673,7.19089505179997,38.0,7.2613,5.7558
Ba2La2Ni(WO6)2,3.302399999999999,-2.8645880636842103,0.049330127894741,263.2917691281152,7.384244690975433,19.0,7.3972,4.0948
Ba2La2Zn(WO6)2,3.0766,-2.854017015789474,0.107780377105264,255.4522805080751,7.654511287307383,19.0,7.0448,3.9682
Ba2La3Ti2Cr3O15,1.5,-3.274081647666666,0.040803550099999,625.1456084786237,6.285117236267816,50.0,7.0722,5.5722000000000005
Ba2La3Ti3NbO15,2.7971,-3.605261031041667,0.02421279885416,651.6120972448613,5.952288972711102,48.0,6.8726,4.0755
Ba2La4Ti5O18,2.3756,-3.622963055747126,0.080110879655164,371.0541047415628,6.075523598450491,29.0,7.373,4.9974
Ba2La6Mg4Ti3WO24,2.1649,-3.437927848249999,0.0687822435625,1119.1245650088847,5.688036566586414,80.0,6.7195,4.5546
Ba2LaWO6,1.9219,-3.064883092000001,0.012724606583329,668.457160842494,6.889960932143548,40.0,6.0861,4.1642
Ba2Li3Ho3(WO4)8,3.2447,-2.623026266354166,0.059323165416667,647.8434003647934,7.107617294316106,48.0,4.7557,1.511
Ba2Li3Y3(WO4)8,2.875099999999999,-2.6160910177083343,0.056808995624999,655.9863329707044,6.442052123168858,48.0,4.5414,1.6663
Ba2Mg(WO4)2,1.3943499999999995,-2.5550234007692305,0.19338724461538048,232.7750577388742,5.689106615620442,13.0,3.7307499999999996,2.3364
Ba2MgWO6,3.223099999999999,-2.9532242795,0.0,139.68398093544786,6.880619859427777,10.0,5.7878,2.5647
Ba2MnWO6,2.2267,-2.746980555793102,0.0,290.591241413471,6.964970701094756,20.0,5.3963,3.1696
Ba2Na7Ti16Bi7O48,2.4513,-2.908128610162356,0.022475904449993,992.9378735147365,5.739985454365804,80.0,5.6875,3.2362
Ba2NaCe2Ti2FeSi8HO27,0.0072,-3.164957372143091,0.088512080378801,577.0518158513217,3.991642237073669,44.0,4.5486,4.5414
Ba2NaCu3S5,0.4504,-1.218905568534482,0.030687062500001,480.4108587055396,4.483815716208886,22.0,4.6557,4.2053
Ba2NaLaTi4O12,1.78,-3.447405203985631,0.024483822218776,251.13143054511195,5.422095921139744,20.0,5.442,3.662
Ba2NdWO6,1.7938,-3.052404307750001,0.0,653.0273657884571,7.107037212128341,40.0,5.1435,3.3497
Ba2NiWO6,3.3409,-2.563658962499999,0.0,276.35513095564085,7.368892709791446,20.0,6.0194,2.6785
Ba2PrWO6,1.8049,-3.031186916416666,0.00408235514584,661.222590205281,6.985457822933512,40.0,5.1295,3.3246
